path,topic_name,message_type,rosbag_duration,message_count
/rosbags2/year3/test_track_days/W20.0/public_road_to_TT,/camera/right/image_color,sensor_msgs/msg/Image,603.556125,171532
/rosbags2/year5/2022-05-15/_2022-05-15-17-02-22.ori,/camera/left/image_rect_color,sensor_msgs/msg/Image,1090.431352008,84230
/rosbags2/year5/2022-05-15/_2022-05-15-17-02-22,/camera/right/image_rect_color,sensor_msgs/msg/Image,1090.431352008,84230
/rosbags2/year5/2022-05-15/_2022-05-15-17-02-22,/camera/left/image_rect_color,sensor_msgs/msg/Image,1090.431352008,84230
/rosbags2/year5/2022-05-15/_2022-05-15-17-02-22.ori,/camera/right/image_rect_color,sensor_msgs/msg/Image,1090.431352008,84230
/rosbags2/year5/2022-05-15/_2022-05-15-17-24-41.ori,/camera/left/image_rect_color,sensor_msgs/msg/Image,833.811894164,72499
/rosbags2/year5/2022-05-15/_2022-05-15-17-24-41,/camera/left/image_rect_color,sensor_msgs/msg/Image,833.811894164,72499
/rosbags2/year5/2022-05-15/_2022-05-15-17-24-41,/camera/right/image_rect_color,sensor_msgs/msg/Image,833.811894164,72499
/rosbags2/year5/2022-05-15/_2022-05-15-17-24-41.ori,/camera/right/image_rect_color,sensor_msgs/msg/Image,833.811894164,72499
/rosbags2/driving_waterloo_1920_1080,/camera/center/image_color,sensor_msgs/msg/Image,1914.0,57380
/rosbags2/driving_waterloo_640_360,/camera/center/image_color,sensor_msgs/msg/Image,1914.0,57380
/rosbags2/year5/2022-05-15/_2022-05-08-20-39-50,/camera/left/image_rect_color,sensor_msgs/msg/Image,648.628039766,52462
/rosbags2/year5/2022-05-15/_2022-05-08-20-39-50,/camera/right/image_rect_color,sensor_msgs/msg/Image,648.628039766,52462
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-15-55-49,/camera/image_mono,sensor_msgs/msg/Image,108.959125391,47124
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-15-55-49,/camera/camera_info,sensor_msgs/msg/CameraInfo,108.959125391,47124
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-15-55-49,/camera/image_raw,sensor_msgs/msg/Image,108.959125391,47124
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-15-55-49,/image_view_1559246138318071080/output,sensor_msgs/msg/Image,108.959125391,47124
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-15-55-49,/camera/image_color,sensor_msgs/msg/Image,108.959125391,47124
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-15-55-49,/camera/image_color/compressed,sensor_msgs/msg/CompressedImage,108.959125391,47124
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-15-55-49,/camera/image_raw/compressed,sensor_msgs/msg/CompressedImage,108.959125391,47124
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-15-55-49,/camera/image_mono/compressed,sensor_msgs/msg/CompressedImage,108.959125391,47124
/rosbags2/year5/2022-04-07/apr7__2022-04-08-02-20-22,/camera/right/image_rect_color,sensor_msgs/msg/Image,549.148798273,46516
/rosbags2/year5/2022-04-07/apr7__2022-04-08-02-20-22,/camera/left/image_rect_color,sensor_msgs/msg/Image,549.148798273,46516
/rosbags2/year5/2022-04-07/apr7_no_whole,/camera/right/image_rect_color,sensor_msgs/msg/Image,549.148798273,44826
/rosbags2/year5/2022-04-07/apr7_no_whole,/camera/left/image_rect_color,sensor_msgs/msg/Image,549.148798273,44826
/rosbags2/year5/2022-03-29/1950_radar,/camera/left/image_rect_color,sensor_msgs/msg/Image,432.136294079,42332
/rosbags2/year4/april_17/test2_2021-04-17-11-51-36,/camera/left/image_color,sensor_msgs/msg/Image,224.308419081,38438
/rosbags2/year4/april_17/test2_2021-04-17-11-51-36,/camera/center/image_rect_color,sensor_msgs/msg/Image,224.308419081,38438
/rosbags2/year4/april_17/test2_2021-04-17-11-51-36,/camera/right/image_color,sensor_msgs/msg/Image,224.308419081,38438
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-08-24,/image_view_1559246904926142443/output,sensor_msgs/msg/Image,87.587219811,37753
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-08-24,/camera/image_color,sensor_msgs/msg/Image,87.587219811,37753
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-08-24,/camera/image_mono/compressed,sensor_msgs/msg/CompressedImage,87.587219811,37753
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-08-24,/camera/image_color/compressed,sensor_msgs/msg/CompressedImage,87.587219811,37753
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-08-24,/camera/image_mono,sensor_msgs/msg/Image,87.587219811,37753
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-08-24,/camera/image_raw/compressed,sensor_msgs/msg/CompressedImage,87.587219811,37753
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-08-24,/camera/camera_info,sensor_msgs/msg/CameraInfo,87.587219811,37753
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-08-24,/camera/image_raw,sensor_msgs/msg/Image,87.587219811,37753
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-49-55,/image_view_1559245827719610906/output,sensor_msgs/msg/Image,83.76829405,35669
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-49-55,/camera/image_color,sensor_msgs/msg/Image,83.76829405,35669
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-49-55,/camera/image_color/compressed,sensor_msgs/msg/CompressedImage,83.76829405,35669
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-49-55,/camera/camera_info,sensor_msgs/msg/CameraInfo,83.76829405,35669
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-49-55,/camera/image_mono/compressed,sensor_msgs/msg/CompressedImage,83.76829405,35669
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-49-55,/camera/image_raw,sensor_msgs/msg/Image,83.76829405,35669
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-49-55,/camera/image_raw/compressed,sensor_msgs/msg/CompressedImage,83.76829405,35669
/rosbags2/year5/2022-03-29/2011_radar,/camera/left/image_rect_color,sensor_msgs/msg/Image,351.715898779,35669
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-49-55,/camera/image_mono,sensor_msgs/msg/Image,83.76829405,35669
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-09-54,/camera/camera_info,sensor_msgs/msg/CameraInfo,82.283025414,34991
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-09-54,/camera/image_mono,sensor_msgs/msg/Image,82.283025414,34991
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-09-54,/camera/image_mono/compressed,sensor_msgs/msg/CompressedImage,82.283025414,34991
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-09-54,/image_view_1559246904926142443/output,sensor_msgs/msg/Image,82.283025414,34991
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-09-54,/camera/image_raw,sensor_msgs/msg/Image,82.283025414,34991
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-09-54,/camera/image_color/compressed,sensor_msgs/msg/CompressedImage,82.283025414,34991
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-09-54,/camera/image_color,sensor_msgs/msg/Image,82.283025414,34991
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-09-54,/camera/image_raw/compressed,sensor_msgs/msg/CompressedImage,82.283025414,34991
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-52-14,/camera/image_mono,sensor_msgs/msg/Image,81.004796798,34957
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-52-14,/camera/image_mono/compressed,sensor_msgs/msg/CompressedImage,81.004796798,34957
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-52-14,/camera/camera_info,sensor_msgs/msg/CameraInfo,81.004796798,34957
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-52-14,/camera/image_color,sensor_msgs/msg/Image,81.004796798,34957
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-52-14,/camera/image_raw,sensor_msgs/msg/Image,81.004796798,34957
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-52-14,/image_view_1559245960081711909/output,sensor_msgs/msg/Image,81.004796798,34957
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-52-14,/camera/image_color/compressed,sensor_msgs/msg/CompressedImage,81.004796798,34957
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/lessbright/2019-05-30-15-52-14,/camera/image_raw/compressed,sensor_msgs/msg/CompressedImage,81.004796798,34957
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-11-25,/camera/image_raw,sensor_msgs/msg/Image,80.863749543,34638
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-11-25,/camera/image_mono,sensor_msgs/msg/Image,80.863749543,34638
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-11-25,/camera/image_mono/compressed,sensor_msgs/msg/CompressedImage,80.863749543,34638
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-11-25,/camera/camera_info,sensor_msgs/msg/CameraInfo,80.863749543,34638
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-11-25,/camera/image_color,sensor_msgs/msg/Image,80.863749543,34638
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-11-25,/image_view_1559246904926142443/output,sensor_msgs/msg/Image,80.863749543,34638
/rosbags2/year2/year2_mcity/uoftcomp/mcity/try2/bothcam/wayback/2019-05-30-16-11-25,/camera/image_raw/compressed,sensor_msgs/msg/CompressedImage,80.863749543,34638
